,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
2,Saint George,37.1041,-113.5841,66.79,10,0,0.0,US,2022-02-13 00:42:57
3,Port Alfred,-33.5906,26.891,75.36,93,100,16.15,ZA,2022-02-13 00:42:58
4,Longyearbyen,78.2186,15.6401,10.24,72,0,9.22,SJ,2022-02-13 00:42:58
5,Tsalka,41.5946,44.0891,23.76,60,8,8.97,GE,2022-02-13 00:42:59
6,Sitka,57.0531,-135.33,42.69,75,100,3.44,US,2022-02-13 00:42:59
7,Punta Arenas,-53.15,-70.9167,51.91,62,0,11.5,CL,2022-02-13 00:41:07
8,Oranjemund,-28.55,16.4333,65.64,86,0,7.83,NA,2022-02-13 00:42:59
9,Rikitea,-23.1203,-134.9692,78.84,71,0,16.82,PF,2022-02-13 00:43:00
10,Ribeira Grande,38.5167,-28.7,61.57,90,100,15.39,PT,2022-02-13 00:43:00
11,Tasiilaq,65.6145,-37.6368,8.76,66,100,5.28,GL,2022-02-13 00:43:01
12,Puerto Ayora,-0.7393,-90.3518,75.54,93,47,1.99,EC,2022-02-13 00:43:01
13,Pont-Audemer,49.35,0.5167,40.12,82,57,10.13,FR,2022-02-13 00:43:01
14,Bluff,-46.6,168.3333,53.8,76,100,14.85,NZ,2022-02-13 00:43:02
15,Dikson,73.5069,80.5464,-4.14,87,100,25.05,RU,2022-02-13 00:43:02
16,Half Moon Bay,37.4636,-122.4286,78.71,50,20,4.61,US,2022-02-13 00:42:16
17,Dikson,73.5069,80.5464,-4.14,87,100,25.05,RU,2022-02-13 00:43:02
18,Deputatskiy,69.3,139.9,-10.61,93,100,5.79,RU,2022-02-13 00:43:03
19,Atuona,-9.8,-139.0333,77.67,77,14,12.33,PF,2022-02-13 00:43:03
20,Cape Town,-33.9258,18.4232,69.89,78,0,10.36,ZA,2022-02-13 00:43:04
21,Georgetown,5.4112,100.3354,78.89,84,20,5.75,MY,2022-02-13 00:43:04
22,Lebu,-37.6167,-73.65,58.12,90,100,8.61,CL,2022-02-13 00:43:04
23,Hofn,64.2539,-15.2082,23.04,68,100,17.63,IS,2022-02-13 00:43:05
24,Punta Arenas,-53.15,-70.9167,51.91,62,0,11.5,CL,2022-02-13 00:41:07
25,Dikson,73.5069,80.5464,-4.14,87,100,25.05,RU,2022-02-13 00:43:02
26,San Jorge,-31.8962,-61.8598,61.38,28,0,7.14,AR,2022-02-13 00:43:06
27,Port Lincoln,-34.7333,135.8667,78.35,38,100,10.4,AU,2022-02-13 00:43:06
28,Aguimes,27.9054,-15.4461,60.85,72,20,15.99,ES,2022-02-13 00:43:06
29,Bambous Virieux,-20.3428,57.7575,77.25,100,75,5.75,MU,2022-02-13 00:43:07
30,Opuwo,-18.0607,13.84,66.31,84,100,4.29,NA,2022-02-13 00:43:07
31,Punta Arenas,-53.15,-70.9167,51.91,62,0,11.5,CL,2022-02-13 00:41:07
32,Sokoni,-6.4333,39.55,78.66,77,100,5.46,TZ,2022-02-13 00:43:08
33,Rikitea,-23.1203,-134.9692,78.84,71,0,16.82,PF,2022-02-13 00:43:00
34,Mataura,-46.1927,168.8643,53.47,95,100,4.16,NZ,2022-02-13 00:43:08
35,Lebu,-37.6167,-73.65,58.12,90,100,8.61,CL,2022-02-13 00:43:04
36,Sitka,57.0531,-135.33,42.69,75,100,3.44,US,2022-02-13 00:42:59
37,Kodiak,57.79,-152.4072,38.71,65,20,8.05,US,2022-02-13 00:43:09
38,Nanortalik,60.1432,-45.2371,29.32,97,100,10.18,GL,2022-02-13 00:43:10
39,Kodiak,57.79,-152.4072,38.71,65,20,8.05,US,2022-02-13 00:43:09
40,Yulara,-25.2406,130.9889,84.04,23,0,8.05,AU,2022-02-13 00:43:10
41,Punta Arenas,-53.15,-70.9167,51.91,62,0,11.5,CL,2022-02-13 00:41:07
42,Mataura,-46.1927,168.8643,53.47,95,100,4.16,NZ,2022-02-13 00:43:08
43,Kudat,6.8837,116.8477,75.29,100,20,0.0,MY,2022-02-13 00:43:11
44,Mataura,-46.1927,168.8643,53.47,95,100,4.16,NZ,2022-02-13 00:43:08
45,Saskylakh,71.9167,114.0833,-5.85,75,49,7.74,RU,2022-02-13 00:43:11
46,Rikitea,-23.1203,-134.9692,78.84,71,0,16.82,PF,2022-02-13 00:43:00
47,Hambantota,6.1241,81.1185,75.54,100,20,3.44,LK,2022-02-13 00:43:12
48,Rafai,4.95,23.9167,69.8,38,9,2.15,CF,2022-02-13 00:43:12
49,Ereymentau,51.6199,73.1033,17.51,91,100,14.74,KZ,2022-02-13 00:43:13
50,Kaisiadorys,54.8667,24.45,30.09,75,28,12.33,LT,2022-02-13 00:43:13
51,Pevek,69.7008,170.3133,-19.34,97,100,8.97,RU,2022-02-13 00:43:14
52,Kruisfontein,-34.0033,24.7314,69.76,94,100,8.7,ZA,2022-02-13 00:43:14
