,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Saint George,US,66.79,37.1041,-113.5841,Best Western Plus Abbey Inn
1,Port Alfred,ZA,75.36,-33.5906,26.891,The Halyards Hotel
5,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
6,Oranjemund,,65.64,-28.55,16.4333,The Fisherman's Cove
7,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
8,Ribeira Grande,PT,61.57,38.5167,-28.7,Quinta da Meia Eira
10,Puerto Ayora,EC,75.54,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Bluff,NZ,53.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
14,Half Moon Bay,US,78.71,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
17,Atuona,PF,77.67,-9.8,-139.0333,Villa Enata
18,Cape Town,ZA,69.89,-33.9258,18.4232,Southern Sun Waterfront Cape Town
19,Georgetown,MY,78.89,5.4112,100.3354,Cititel Penang
20,Lebu,CL,58.12,-37.6167,-73.65,Hostal Las Lilas
22,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
24,San Jorge,AR,61.38,-31.8962,-61.8598,INDIGO Hostel
25,Port Lincoln,AU,78.35,-34.7333,135.8667,Port Lincoln Hotel
26,Aguimes,ES,60.85,27.9054,-15.4461,Hotel Villa de Aguimes
27,Bambous Virieux,MU,77.25,-20.3428,57.7575,Casa Tia Villa
28,Opuwo,,66.31,-18.0607,13.84,ABBA Guesthouse
29,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
30,Sokoni,TZ,78.66,-6.4333,39.55,Ujamaa Beach Resort
31,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
32,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
33,Lebu,CL,58.12,-37.6167,-73.65,Hostal Las Lilas
38,Yulara,AU,84.04,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
39,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
40,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
41,Kudat,MY,75.29,6.8837,116.8477,Dream Garden Hotel
42,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
44,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
45,Hambantota,LK,75.54,6.1241,81.1185,Bungalow 63
46,Rafai,CF,69.8,4.95,23.9167,
50,Kruisfontein,ZA,69.76,-34.0033,24.7314,Oyster Bay House Rental
52,Haimen,CN,60.69,23.1935,116.6142,Jinghao Business Hotel
53,Richards Bay,ZA,71.04,-28.783,32.0377,BON Hotel Waterfront Richards Bay
54,Bluff,NZ,53.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,Hobart,AU,79.02,-42.8794,147.3294,Mantra on Collins Hobart
59,Gamba,GA,77.32,-2.65,10.0,
61,Puerto Ayora,EC,75.54,-0.7393,-90.3518,Finch Bay Galapagos Hotel
62,Anaco,VE,79.14,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
63,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
65,Hithadhoo,MV,81.19,-0.6,73.0833,Scoop Guest House
68,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
70,Port Alfred,ZA,75.36,-33.5906,26.891,The Halyards Hotel
72,Hoquiam,US,58.06,46.9809,-123.8893,Econo Lodge Inn & Suites
73,Arraial Do Cabo,BR,75.07,-22.9661,-42.0278,Pousada Porto Praia
74,Nha Trang,VN,77.0,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
76,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
80,Bandarbeyla,SO,74.19,9.4942,50.8122,JABIR HOTEL
81,Nakhon Phanom,TH,78.6,17.3333,104.4167,ป่ายางรีสอร์ท
83,Muncar,ID,76.86,-8.4333,114.3333,Zaky Homestay
84,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Taoudenni,ML,61.79,22.6783,-3.9836,
86,Waingapu,ID,82.29,-9.6567,120.2641,Pondok Wisata Elim
87,Ugoofaaru,MV,81.55,5.6667,73.0,Ungoofaaru Inn
90,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
94,Mount Gambier,AU,80.51,-37.8333,140.7667,The Commodore
99,Bluff,NZ,53.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
100,Hobart,AU,79.02,-42.8794,147.3294,Mantra on Collins Hobart
102,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
104,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
107,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
108,Butaritari,KI,83.08,3.0707,172.7902,Isles Sunset Lodge
111,Port-Gentil,GA,80.38,-0.7193,8.7815,Fengshui Residence
112,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
114,Ribeira Grande,PT,61.57,38.5167,-28.7,Quinta da Meia Eira
115,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
117,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
118,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
119,Kaitangata,NZ,55.92,-46.2817,169.8464,Kaitangata Motor Camp
121,Luanda,AO,76.12,-8.8368,13.2343,Hotel Fórum
123,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
124,Hilo,US,78.53,19.7297,-155.09,Hilo Hawaiian Hotel
126,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Sao Miguel Do Araguaia,BR,73.08,-13.275,-50.1628,Hotel Executivo Palace
131,Nanakuli,US,81.77,21.3906,-158.1547,Camp Pālehua
132,Saint-Philippe,RE,78.35,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
134,Flinders,AU,77.38,-34.5833,150.8552,Shellharbour Resort & Conference Centre
136,Hilo,US,78.53,19.7297,-155.09,Hilo Hawaiian Hotel
138,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
140,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
141,Busselton,AU,68.04,-33.65,115.3333,Observatory Guest House
147,Simpang,ID,77.32,-1.2667,104.0833,
149,Hobart,AU,79.02,-42.8794,147.3294,Mantra on Collins Hobart
150,Dunedin,NZ,54.81,-45.8742,170.5036,Scenic Hotel Southern Cross
151,Arraial Do Cabo,BR,75.07,-22.9661,-42.0278,Pousada Porto Praia
153,Adrar,MR,61.07,20.5022,-10.0711,
158,Alcudia,ES,51.19,39.8532,3.1214,Zafiro Tropic
159,Matara,LK,74.93,5.9485,80.5353,Amaloh Boutique Resort
162,Airai,TL,69.82,-8.9266,125.4092,
163,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
165,Agadez,NE,57.36,19.75,10.25,
169,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
170,Ponta Do Sol,PT,63.23,32.6667,-17.1,Hotel do Campo
172,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
173,Marrakesh,MA,55.47,31.6315,-8.0083,Novotel Marrakech Hivernage
175,Mayo,US,54.01,38.8876,-76.5119,Resorts Resource Group International
176,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
177,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
180,Calama,CL,58.26,-22.4667,-68.9333,Diego De Almagro Calama
